,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
212,LA,220,"Alexandria, LA MSA",53-0000,Transportation and material moving occupations,major,3790,7.7,11.37,23640,3.5,6.31,7.58,9.74,13.41,19.71,13120,15760,20250,27900,41000,2004
227,LA,760,"Baton Rouge, LA MSA",11-0000,Management occupations,major,17240,4.0,33.92,70560,1.5,16.49,21.15,28.97,40.09,59.51,34290,43990,60270,83380,123780,2004
255,LA,760,"Baton Rouge, LA MSA",13-0000,Business and financial operations occupations,major,11380,4.3,21.70,45140,3.4,12.13,15.50,20.06,25.99,32.99,25220,32240,41720,54050,68620,2004
276,LA,760,"Baton Rouge, LA MSA",15-0000,Computer and mathematical occupations,major,4990,13.5,24.23,50400,2.0,14.51,18.08,22.89,29.81,35.63,30180,37600,47610,62010,74110,2004
286,LA,760,"Baton Rouge, LA MSA",17-0000,Architecture and engineering occupations,major,6130,6.3,28.04,58330,3.1,14.21,18.90,26.20,36.34,44.93,29560,39310,54500,75580,93460,2004
309,LA,760,"Baton Rouge, LA MSA",19-0000,"Life, physical, and social science occupations",major,3290,5.8,23.07,47990,3.3,13.67,16.54,21.00,27.94,34.35,28440,34390,43690,58110,71450,2004
319,LA,760,"Baton Rouge, LA MSA",21-0000,Community and social services occupations,major,4260,4.3,18.34,38140,4.1,10.15,13.40,17.53,22.18,27.83,21120,27870,36460,46130,57880,2004
331,LA,760,"Baton Rouge, LA MSA",23-0000,Legal occupations,major,2340,9.1,29.73,61840,10.0,11.80,14.83,22.90,38.25,56.27,24550,30850,47640,79560,117050,2004
337,LA,760,"Baton Rouge, LA MSA",25-0000,"Education, training, and library occupations",major,15720,3.6,17.79,37000,3.1,7.31,13.80,17.18,21.18,26.62,15200,28700,35730,44060,55360,2004
373,LA,760,"Baton Rouge, LA MSA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,2870,9.0,19.04,39610,4.7,6.71,11.49,17.01,23.63,33.38,13960,23890,35390,49140,69430,2004
389,LA,760,"Baton Rouge, LA MSA",29-0000,Healthcare practitioners and technical occupations,major,14040,3.4,23.53,48930,3.2,9.93,14.03,19.11,25.63,39.74,20650,29180,39750,53320,82660,2004
428,LA,760,"Baton Rouge, LA MSA",31-0000,Healthcare support occupations,major,6660,4.7,8.81,18320,2.6,5.80,6.55,8.14,10.23,12.81,12060,13630,16930,21290,26650,2004
441,LA,760,"Baton Rouge, LA MSA",33-0000,Protective service occupations,major,7610,8.3,13.44,27950,4.0,6.29,8.38,13.66,17.15,20.76,13090,17420,28420,35680,43180,2004
453,LA,760,"Baton Rouge, LA MSA",35-0000,Food preparation and serving related occupations,major,22460,3.3,7.36,15310,1.3,5.55,5.95,6.62,8.04,10.55,11550,12380,13770,16720,21940,2004
470,LA,760,"Baton Rouge, LA MSA",37-0000,Building and grounds cleaning and maintenance occupations,major,10380,6.9,8.38,17430,2.2,5.73,6.36,7.65,9.68,12.30,11910,13220,15910,20140,25570,2004
480,LA,760,"Baton Rouge, LA MSA",39-0000,Personal care and service occupations,major,6860,5.5,8.72,18140,3.8,5.64,6.18,7.25,9.72,13.58,11730,12850,15080,20220,28240,2004
498,LA,760,"Baton Rouge, LA MSA",41-0000,Sales and related occupations,major,31840,3.2,13.36,27790,3.6,5.90,6.77,9.18,16.05,24.74,12270,14080,19090,33380,51460,2004
518,LA,760,"Baton Rouge, LA MSA",43-0000,Office and administrative support occupations,major,51180,2.4,11.87,24690,0.8,7.09,8.68,10.90,14.07,18.02,14750,18040,22670,29260,37480,2004
563,LA,760,"Baton Rouge, LA MSA",45-0000,"Farming, fishing, and forestry occupations",major,380,10.7,12.11,25190,5.3,6.51,9.18,12.00,13.77,18.39,13540,19090,24960,28640,38240,2004
567,LA,760,"Baton Rouge, LA MSA",47-0000,Construction and extraction occupations,major,24350,4.2,14.82,30820,1.3,8.98,10.95,14.21,18.23,21.74,18680,22780,29560,37910,45210,2004
602,LA,760,"Baton Rouge, LA MSA",49-0000,"Installation, maintenance, and repair occupations",major,16000,5.0,16.18,33650,1.5,8.93,11.75,15.65,20.07,24.57,18570,24450,32550,41750,51110,2004
631,LA,760,"Baton Rouge, LA MSA",51-0000,Production occupations,major,18860,5.2,16.77,34890,3.2,7.25,10.11,15.40,22.67,27.52,15090,21020,32020,47160,57240,2004
678,LA,760,"Baton Rouge, LA MSA",53-0000,Transportation and material moving occupations,major,20020,4.9,12.23,25440,3.7,6.16,7.50,10.37,14.75,21.40,12810,15600,21570,30680,44510,2004
704,LA,3350,"Houma, LA MSA",11-0000,Management occupations,major,3770,4.7,32.67,67950,3.3,14.20,19.98,26.90,38.85,57.65,29550,41550,55950,80810,119920,2004
724,LA,3350,"Houma, LA MSA",13-0000,Business and financial operations occupations,major,1700,7.1,20.79,43240,3.3,10.57,14.78,19.21,25.29,31.81,21980,30740,39970,52610,66160,2004
737,LA,3350,"Houma, LA MSA",15-0000,Computer and mathematical occupations,major,220,10.5,22.37,46540,5.9,12.73,15.91,20.09,25.84,33.10,26480,33090,41780,53740,68850,2004
741,LA,3350,"Houma, LA MSA",17-0000,Architecture and engineering occupations,major,720,10.9,24.25,50430,3.3,12.39,16.06,21.57,30.67,41.31,25770,33410,44870,63800,85920,2004
750,LA,3350,"Houma, LA MSA",19-0000,"Life, physical, and social science occupations",major,280,13.1,22.08,45930,4.0,11.47,15.16,21.30,26.69,34.14,23850,31530,44300,55510,71020,2004
754,LA,3350,"Houma, LA MSA",21-0000,Community and social services occupations,major,900,6.4,16.59,34510,2.7,8.50,12.47,16.68,20.49,24.58,17680,25930,34690,42610,51130,2004
760,LA,3350,"Houma, LA MSA",23-0000,Legal occupations,major,220,27.4,*,*,*,*,*,*,*,*,*,*,*,*,*,2004
763,LA,3350,"Houma, LA MSA",25-0000,"Education, training, and library occupations",major,5700,14.7,15.17,31550,2.0,6.40,11.81,15.83,18.86,21.37,13310,24550,32930,39230,44450,2004
776,LA,3350,"Houma, LA MSA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,400,17.4,14.69,30550,4.0,6.28,8.43,12.38,19.25,27.10,13050,17540,25750,40030,56370,2004
779,LA,3350,"Houma, LA MSA",29-0000,Healthcare practitioners and technical occupations,major,4750,19.7,22.28,46350,5.4,11.25,14.86,18.07,24.28,33.81,23400,30910,37590,50500,70320,2004
798,LA,3350,"Houma, LA MSA",31-0000,Healthcare support occupations,major,1820,9.8,8.86,18420,3.4,5.87,6.67,8.09,11.05,12.85,12210,13880,16830,22980,26720,2004
806,LA,3350,"Houma, LA MSA",33-0000,Protective service occupations,major,1340,9.5,11.41,23720,3.9,6.16,7.87,10.88,14.48,17.02,12810,16370,22630,30130,35400,2004
811,LA,3350,"Houma, LA MSA",35-0000,Food preparation and serving related occupations,major,5690,3.6,7.24,15060,1.7,5.51,5.89,6.51,7.83,10.47,11470,12240,13530,16290,21770,2004
824,LA,3350,"Houma, LA MSA",37-0000,Building and grounds cleaning and maintenance occupations,major,2200,9.2,8.19,17040,2.1,5.70,6.29,7.56,9.65,11.35,11850,13080,15710,20070,23610,2004
831,LA,3350,"Houma, LA MSA",39-0000,Personal care and service occupations,major,1220,5.6,7.52,15640,3.0,5.59,6.00,6.69,8.18,10.75,11620,12480,13920,17020,22360,2004
839,LA,3350,"Houma, LA MSA",41-0000,Sales and related occupations,major,8260,4.4,11.43,23770,3.2,5.77,6.40,8.16,13.18,21.57,12010,13310,16970,27410,44860,2004
853,LA,3350,"Houma, LA MSA",43-0000,Office and administrative support occupations,major,11370,4.2,10.79,22440,1.6,6.35,7.71,9.83,12.67,16.86,13200,16040,20450,26350,35060,2004
889,LA,3350,"Houma, LA MSA",45-0000,"Farming, fishing, and forestry occupations",major,270,23.1,8.75,18200,6.2,5.74,6.24,7.13,10.73,13.48,11940,12970,14830,22310,28040,2004
891,LA,3350,"Houma, LA MSA",47-0000,Construction and extraction occupations,major,7150,8.0,15.09,31400,4.8,8.17,10.28,14.48,17.84,23.02,17000,21390,30120,37110,47870,2004
910,LA,3350,"Houma, LA MSA",49-0000,"Installation, maintenance, and repair occupations",major,4930,7.9,15.18,31570,2.2,7.93,10.47,14.57,18.11,23.39,16500,21770,30300,37660,48650,2004
931,LA,3350,"Houma, LA MSA",51-0000,Production occupations,major,7340,6.0,15.71,32670,2.3,8.30,11.27,15.19,19.59,24.37,17270,23440,31600,40750,50700,2004
954,LA,3350,"Houma, LA MSA",53-0000,Transportation and material moving occupations,major,10980,5.9,15.30,31830,3.8,6.73,8.53,13.12,20.59,28.33,14000,17740,27290,42830,58920,2004
974,LA,3880,"Lafayette, LA MSA",11-0000,Management occupations,major,7710,3.3,33.82,70340,1.6,14.84,20.56,29.47,41.40,59.87,30870,42770,61290,86110,124530,2004
1000,LA,3880,"Lafayette, LA MSA",13-0000,Business and financial operations occupations,major,4170,7.6,21.81,45360,3.1,11.46,13.77,19.81,26.34,35.04,23840,28640,41210,54790,72890,2004
1019,LA,3880,"Lafayette, LA MSA",15-0000,Computer and mathematical occupations,major,940,10.7,21.52,44770,2.7,12.24,15.25,20.43,26.92,33.31,25460,31720,42490,55990,69280,2004
1028,LA,3880,"Lafayette, LA MSA",17-0000,Architecture and engineering occupations,major,3160,11.5,24.73,51440,4.0,11.79,15.49,23.20,31.26,41.51,24520,32230,48270,65020,86340,2004
1047,LA,3880,"Lafayette, LA MSA",19-0000,"Life, physical, and social science occupations",major,850,11.4,24.53,51020,5.0,11.71,14.58,21.40,29.18,42.62,24350,30330,44520,60700,88640,2004
1054,LA,3880,"Lafayette, LA MSA",21-0000,Community and social services occupations,major,1580,4.4,17.56,36530,2.8,9.19,12.35,17.14,22.07,26.44,19120,25680,35660,45900,55000,2004
1064,LA,3880,"Lafayette, LA MSA",23-0000,Legal occupations,major,1430,15.0,28.61,59510,11.3,7.97,12.19,19.75,34.56,68.96,16580,25360,41080,71890,143440,2004
1069,LA,3880,"Lafayette, LA MSA",25-0000,"Education, training, and library occupations",major,7900,1.6,16.36,34040,2.9,6.52,11.76,16.88,20.67,24.59,13560,24460,35110,42990,51160,2004
1084,LA,3880,"Lafayette, LA MSA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,1210,9.4,13.24,27540,4.5,6.85,8.91,10.71,15.78,21.86,14240,18530,22270,32830,45460,2004
1096,LA,3880,"Lafayette, LA MSA",29-0000,Healthcare practitioners and technical occupations,major,10030,6.6,24.06,50040,5.5,10.81,13.75,18.90,25.61,41.97,22490,28590,39300,53280,87310,2004
1129,LA,3880,"Lafayette, LA MSA",31-0000,Healthcare support occupations,major,5260,7.4,8.23,17120,2.7,5.69,6.29,7.43,9.32,12.45,11830,13090,15460,19370,25900,2004
1144,LA,3880,"Lafayette, LA MSA",33-0000,Protective service occupations,major,3050,6.9,12.96,26950,6.2,6.51,8.01,11.60,16.78,21.51,13530,16670,24130,34910,44740,2004
1154,LA,3880,"Lafayette, LA MSA",35-0000,Food preparation and serving related occupations,major,14160,2.4,7.29,15150,1.4,5.54,5.94,6.60,8.08,10.39,11530,12350,13730,16800,21620,2004
1170,LA,3880,"Lafayette, LA MSA",37-0000,Building and grounds cleaning and maintenance occupations,major,4410,4.8,8.03,16700,2.2,5.64,6.17,7.21,9.11,11.36,11730,12840,14990,18950,23640,2004
1179,LA,3880,"Lafayette, LA MSA",39-0000,Personal care and service occupations,major,3360,6.4,7.69,15990,2.8,5.56,6.02,6.82,8.42,10.83,11560,12520,14180,17510,22530,2004
1193,LA,3880,"Lafayette, LA MSA",41-0000,Sales and related occupations,major,19040,4.1,11.98,24920,3.0,5.78,6.44,8.16,13.59,23.60,12030,13390,16980,28270,49080,2004
1211,LA,3880,"Lafayette, LA MSA",43-0000,Office and administrative support occupations,major,29600,2.5,11.38,23670,1.4,6.42,7.92,10.26,13.57,17.87,13360,16480,21340,28210,37170,2004
1254,LA,3880,"Lafayette, LA MSA",45-0000,"Farming, fishing, and forestry occupations",major,300,14.6,13.18,27410,8.0,6.27,7.67,10.76,15.69,24.79,13040,15960,22370,32640,51560,2004
1257,LA,3880,"Lafayette, LA MSA",47-0000,Construction and extraction occupations,major,12580,8.5,15.11,31420,1.9,9.12,11.54,14.61,17.78,21.77,18960,24000,30380,36980,45280,2004
1286,LA,3880,"Lafayette, LA MSA",49-0000,"Installation, maintenance, and repair occupations",major,10520,9.0,15.44,32120,1.5,8.46,10.82,14.65,19.33,24.62,17600,22510,30470,40210,51210,2004
1312,LA,3880,"Lafayette, LA MSA",51-0000,Production occupations,major,11570,5.3,13.33,27730,2.6,6.62,8.44,11.58,16.40,22.33,13780,17550,24090,34120,46440,2004
1351,LA,3880,"Lafayette, LA MSA",53-0000,Transportation and material moving occupations,major,12720,6.4,11.88,24710,2.7,6.25,7.60,10.35,13.88,20.47,13000,15800,21520,28860,42580,2004
1373,LA,3960,"Lake Charles, LA MSA",11-0000,Management occupations,major,3350,5.8,33.56,69800,3.0,15.53,21.96,29.30,41.01,58.31,32290,45680,60950,85290,121280,2004
1391,LA,3960,"Lake Charles, LA MSA",13-0000,Business and financial operations occupations,major,2120,12.2,22.73,47270,3.3,11.79,15.36,20.27,27.24,36.02,24530,31960,42170,56660,74920,2004
1407,LA,3960,"Lake Charles, LA MSA",15-0000,Computer and mathematical occupations,major,600,29.0,23.12,48090,6.1,10.38,14.51,21.14,28.94,38.83,21590,30180,43970,60200,80770,2004
1414,LA,3960,"Lake Charles, LA MSA",17-0000,Architecture and engineering occupations,major,1630,15.8,31.48,65490,3.6,15.39,22.94,31.03,40.80,48.81,32000,47710,64530,84870,101530,2004
1429,LA,3960,"Lake Charles, LA MSA",19-0000,"Life, physical, and social science occupations",major,760,26.6,25.45,52940,6.5,11.41,16.83,24.65,32.73,41.13,23730,35010,51270,68080,85550,2004
1435,LA,3960,"Lake Charles, LA MSA",21-0000,Community and social services occupations,major,940,15.5,15.40,32030,10.0,6.68,9.97,14.62,20.48,25.52,13890,20730,30410,42600,53070,2004
1442,LA,3960,"Lake Charles, LA MSA",23-0000,Legal occupations,major,300,22.5,42.76,88940,17.1,9.85,14.80,28.14,#,#,20480,30770,58530,#,#,2004
1448,LA,3960,"Lake Charles, LA MSA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,640,11.6,14.58,30340,8.7,6.45,7.70,11.24,16.95,26.87,13410,16030,23370,35260,55900,2004
1454,LA,3960,"Lake Charles, LA MSA",29-0000,Healthcare practitioners and technical occupations,major,5200,15.8,23.49,48860,5.0,9.54,13.34,19.15,25.60,41.19,19840,27750,39840,53240,85670,2004
1476,LA,3960,"Lake Charles, LA MSA",31-0000,Healthcare support occupations,major,2040,6.9,7.70,16020,2.7,5.62,6.16,7.19,8.49,10.73,11690,12810,14950,17650,22310,2004
1486,LA,3960,"Lake Charles, LA MSA",33-0000,Protective service occupations,major,2480,24.2,11.53,23980,2.2,6.89,8.18,10.62,14.10,17.21,14320,17010,22090,29330,35790,2004
1492,LA,3960,"Lake Charles, LA MSA",35-0000,Food preparation and serving related occupations,major,7560,4.2,7.02,14610,1.2,5.57,5.94,6.55,7.61,8.94,11590,12360,13630,15840,18590,2004
1506,LA,3960,"Lake Charles, LA MSA",37-0000,Building and grounds cleaning and maintenance occupations,major,2370,5.3,7.71,16040,2.2,5.62,6.08,6.85,8.61,11.00,11690,12640,14240,17900,22890,2004
1513,LA,3960,"Lake Charles, LA MSA",39-0000,Personal care and service occupations,major,2840,16.5,8.24,17140,6.5,5.62,6.02,6.69,9.08,14.93,11690,12530,13920,18880,31060,2004
1522,LA,3960,"Lake Charles, LA MSA",41-0000,Sales and related occupations,major,8250,4.0,10.99,22850,2.3,5.83,6.55,8.50,13.07,19.62,12120,13620,17680,27180,40810,2004
1535,LA,3960,"Lake Charles, LA MSA",43-0000,Office and administrative support occupations,major,12930,4.3,11.17,23230,2.1,6.63,7.95,10.07,13.38,17.47,13780,16550,20950,27820,36330,2004
1573,LA,3960,"Lake Charles, LA MSA",45-0000,"Farming, fishing, and forestry occupations",major,**,**,12.44,25870,7.5,6.35,8.88,11.18,15.28,19.21,13200,18460,23260,31780,39950,2004
1575,LA,3960,"Lake Charles, LA MSA",47-0000,Construction and extraction occupations,major,7320,7.0,16.44,34200,3.0,8.67,11.34,15.64,20.60,26.01,18030,23590,32520,42840,54100,2004
1599,LA,3960,"Lake Charles, LA MSA",49-0000,"Installation, maintenance, and repair occupations",major,3870,6.4,16.77,34890,2.6,8.11,10.97,15.82,22.29,26.72,16860,22820,32910,46360,55570,2004
1619,LA,3960,"Lake Charles, LA MSA",51-0000,Production occupations,major,5130,4.7,19.46,40470,4.6,8.17,12.21,20.30,25.79,30.12,17000,25400,42220,53640,62650,2004
1641,LA,3960,"Lake Charles, LA MSA",53-0000,Transportation and material moving occupations,major,5760,5.0,12.07,25110,3.9,6.16,7.44,10.36,15.07,20.23,12820,15480,21550,31340,42080,2004
1657,LA,5200,"Monroe, LA MSA",11-0000,Management occupations,major,4030,5.4,30.87,64210,1.8,14.27,19.13,26.59,36.58,53.53,29680,39790,55310,76090,111350,2004
1679,LA,5200,"Monroe, LA MSA",13-0000,Business and financial operations occupations,major,1800,6.9,21.31,44330,2.3,12.25,15.05,19.42,25.45,32.55,25470,31310,40400,52940,67700,2004
1693,LA,5200,"Monroe, LA MSA",15-0000,Computer and mathematical occupations,major,1210,26.4,22.30,46390,3.4,11.86,14.75,20.31,27.25,35.01,24670,30690,42250,56670,72810,2004
1700,LA,5200,"Monroe, LA MSA",17-0000,Architecture and engineering occupations,major,1000,6.3,23.89,49680,4.1,10.82,15.03,22.50,31.54,40.70,22500,31260,46790,65610,84660,2004
1713,LA,5200,"Monroe, LA MSA",19-0000,"Life, physical, and social science occupations",major,200,6.9,23.57,49020,3.8,13.37,17.54,22.80,27.92,35.51,27820,36470,47420,58070,73870,2004
1714,LA,5200,"Monroe, LA MSA",21-0000,Community and social services occupations,major,1050,7.2,16.20,33700,5.0,7.62,11.20,15.90,20.32,25.05,15840,23300,33060,42270,52100,2004
1721,LA,5200,"Monroe, LA MSA",23-0000,Legal occupations,major,490,23.1,20.81,43290,8.5,6.76,11.71,18.27,25.12,35.64,14070,24350,38000,52250,74120,2004
1725,LA,5200,"Monroe, LA MSA",25-0000,"Education, training, and library occupations",major,4410,2.7,17.80,37030,7.9,6.49,13.75,18.00,20.85,27.04,13510,28610,37440,43370,56240,2004
1730,LA,5200,"Monroe, LA MSA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,610,5.9,12.79,26600,4.0,6.14,7.53,11.00,16.24,22.21,12770,15660,22870,33770,46200,2004
1738,LA,5200,"Monroe, LA MSA",29-0000,Healthcare practitioners and technical occupations,major,5160,11.0,22.80,47420,5.6,10.15,13.51,18.48,25.53,35.57,21110,28100,38450,53100,73990,2004
1759,LA,5200,"Monroe, LA MSA",31-0000,Healthcare support occupations,major,2260,8.9,8.38,17430,3.8,5.76,6.40,7.64,9.77,12.10,11990,13320,15900,20310,25180,2004
1768,LA,5200,"Monroe, LA MSA",33-0000,Protective service occupations,major,1640,5.5,13.62,28330,7.1,6.78,8.58,11.83,17.21,24.25,14100,17850,24600,35800,50440,2004
1771,LA,5200,"Monroe, LA MSA",35-0000,Food preparation and serving related occupations,major,6420,3.3,7.24,15060,2.3,5.58,5.98,6.65,8.01,10.17,11610,12450,13830,16650,21160,2004
1788,LA,5200,"Monroe, LA MSA",37-0000,Building and grounds cleaning and maintenance occupations,major,2560,10.2,7.56,15720,2.8,5.53,5.96,6.67,8.57,10.91,11510,12400,13880,17830,22700,2004
1796,LA,5200,"Monroe, LA MSA",39-0000,Personal care and service occupations,major,2150,10.1,7.32,15220,3.6,5.58,5.97,6.62,8.01,10.41,11610,12420,13770,16670,21660,2004
1805,LA,5200,"Monroe, LA MSA",41-0000,Sales and related occupations,major,7190,3.8,11.16,23210,2.9,5.79,6.48,8.38,12.69,19.95,12030,13480,17430,26390,41490,2004
1821,LA,5200,"Monroe, LA MSA",43-0000,Office and administrative support occupations,major,14130,8.5,11.13,23140,1.8,6.57,8.05,10.21,13.27,17.03,13670,16740,21230,27600,35420,2004
1855,LA,5200,"Monroe, LA MSA",45-0000,"Farming, fishing, and forestry occupations",major,**,**,10.03,20860,13.3,6.06,6.90,8.18,11.41,17.24,12600,14350,17010,23730,35850,2004
1857,LA,5200,"Monroe, LA MSA",47-0000,Construction and extraction occupations,major,2780,7.0,13.41,27880,2.2,7.62,9.58,12.27,16.20,21.01,15860,19920,25530,33700,43710,2004
1876,LA,5200,"Monroe, LA MSA",49-0000,"Installation, maintenance, and repair occupations",major,3580,5.7,15.56,32360,3.5,7.96,10.37,14.26,20.31,25.25,16560,21580,29660,42250,52530,2004
1893,LA,5200,"Monroe, LA MSA",51-0000,Production occupations,major,5070,9.8,14.50,30170,4.3,6.67,9.10,13.12,19.17,24.84,13870,18930,27300,39870,51670,2004
1919,LA,5200,"Monroe, LA MSA",53-0000,Transportation and material moving occupations,major,4680,5.4,11.00,22870,2.5,5.93,7.15,9.69,12.99,18.72,12340,14860,20150,27020,38940,2004
1933,LA,5560,"New Orleans, LA MSA",11-0000,Management occupations,major,31300,2.6,36.46,75840,1.8,16.29,22.11,30.34,43.58,67.89,33890,45990,63110,90650,141220,2004
1964,LA,5560,"New Orleans, LA MSA",13-0000,Business and financial operations occupations,major,21190,4.6,23.09,48030,2.3,11.79,14.97,20.12,27.61,37.75,24520,31130,41840,57430,78510,2004
1994,LA,5560,"New Orleans, LA MSA",15-0000,Computer and mathematical occupations,major,7810,5.4,27.59,57380,3.7,14.79,19.07,25.13,33.53,42.66,30760,39660,52260,69750,88730,2004
2004,LA,5560,"New Orleans, LA MSA",17-0000,Architecture and engineering occupations,major,9930,4.4,29.29,60930,2.3,14.35,19.84,27.84,38.02,46.15,29850,41260,57910,79070,96000,2004
2030,LA,5560,"New Orleans, LA MSA",19-0000,"Life, physical, and social science occupations",major,4540,8.4,26.88,55910,4.2,12.40,17.42,24.08,34.58,46.67,25780,36240,50080,71920,97060,2004
2049,LA,5560,"New Orleans, LA MSA",21-0000,Community and social services occupations,major,7440,7.2,17.71,36830,2.8,9.22,12.70,17.10,21.79,26.28,19180,26420,35570,45320,54650,2004
2062,LA,5560,"New Orleans, LA MSA",23-0000,Legal occupations,major,6140,9.4,33.56,69800,7.3,12.62,16.71,24.91,42.81,68.96,26260,34760,51820,89040,143440,2004
2072,LA,5560,"New Orleans, LA MSA",25-0000,"Education, training, and library occupations",major,32580,4.5,18.53,38540,5.2,7.04,12.53,17.64,21.45,27.14,14650,26060,36690,44620,56450,2004
2102,LA,5560,"New Orleans, LA MSA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,6660,7.0,14.80,30790,5.4,5.96,7.61,12.92,19.38,26.23,12390,15840,26870,40310,54550,2004
2130,LA,5560,"New Orleans, LA MSA",29-0000,Healthcare practitioners and technical occupations,major,36050,3.9,25.21,52430,3.0,11.50,16.00,21.98,27.90,37.12,23910,33290,45720,58040,77220,2004
2169,LA,5560,"New Orleans, LA MSA",31-0000,Healthcare support occupations,major,17520,5.7,9.19,19130,2.0,6.02,7.12,8.69,10.60,13.11,12520,14810,18080,22050,27270,2004
2182,LA,5560,"New Orleans, LA MSA",33-0000,Protective service occupations,major,16840,3.3,11.65,24230,3.7,6.09,7.37,10.55,14.12,18.31,12660,15330,21950,29370,38090,2004
