,PRIM_STATE,AREA,AREA_TITLE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,year
582,ND,2985,"Grand Forks, ND-MN MSA",11-0000,Management occupations,major,2040,3.5,30.03,62460,2.0,13.57,19.04,26.89,35.63,50.62,28240,39610,55930,74120,105290,2003
596,ND,2985,"Grand Forks, ND-MN MSA",13-0000,Business and financial operations occupations,major,1140,3.9,20.94,43550,2.7,12.52,15.58,19.42,24.90,31.29,26040,32400,40400,51780,65090,2003
604,ND,2985,"Grand Forks, ND-MN MSA",15-0000,Computer and mathematical occupations,major,330,3.9,21.01,43700,2.7,14.14,17.03,20.42,24.70,28.61,29410,35430,42470,51370,59510,2003
607,ND,2985,"Grand Forks, ND-MN MSA",17-0000,Architecture and engineering occupations,major,570,8.2,20.90,43470,3.3,10.94,13.61,19.56,25.74,33.07,22750,28310,40680,53540,68780,2003
613,ND,2985,"Grand Forks, ND-MN MSA",19-0000,"Life, physical, and social science occupations",major,610,5.7,18.27,38010,2.8,11.28,13.02,15.97,20.64,28.91,23460,27080,33220,42940,60140,2003
616,ND,2985,"Grand Forks, ND-MN MSA",21-0000,Community and social services occupations,major,980,11.1,14.39,29940,2.3,7.95,9.79,14.14,18.14,21.67,16530,20370,29410,37720,45070,2003
622,ND,2985,"Grand Forks, ND-MN MSA",23-0000,Legal occupations,major,200,17.1,20.64,42930,12.1,9.15,10.73,14.29,22.91,41.54,19020,22320,29730,47660,86400,2003
625,ND,2985,"Grand Forks, ND-MN MSA",25-0000,"Education, training, and library occupations",major,3890,3.5,16.79,34910,2.8,8.88,11.74,16.30,21.22,25.89,18470,24410,33910,44140,53840,2003
637,ND,2985,"Grand Forks, ND-MN MSA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,480,9.2,14.27,29680,7.8,6.25,7.83,11.91,16.76,23.19,12990,16280,24780,34860,48240,2003
644,ND,2985,"Grand Forks, ND-MN MSA",31-0000,Healthcare support occupations,major,1950,8.7,10.06,20930,2.6,7.71,8.65,9.91,11.23,12.94,16030,17990,20610,23370,26910,2003
648,ND,2985,"Grand Forks, ND-MN MSA",33-0000,Protective service occupations,major,700,5.3,14.31,29760,6.1,6.42,8.63,12.65,19.00,24.67,13360,17950,26310,39510,51320,2003
652,ND,2985,"Grand Forks, ND-MN MSA",35-0000,Food preparation and serving related occupations,major,5810,5.4,7.29,15170,2.9,5.63,6.05,6.74,8.27,10.13,11720,12580,14010,17190,21070,2003
667,ND,2985,"Grand Forks, ND-MN MSA",37-0000,Building and grounds cleaning and maintenance occupations,major,2220,6.1,9.41,19570,2.1,6.37,7.48,8.83,10.63,13.35,13260,15550,18380,22110,27760,2003
672,ND,2985,"Grand Forks, ND-MN MSA",39-0000,Personal care and service occupations,major,1240,7.5,9.04,18810,2.8,5.97,6.79,8.24,10.25,13.32,12420,14120,17150,21330,27710,2003
682,ND,2985,"Grand Forks, ND-MN MSA",41-0000,Sales and related occupations,major,4800,5.9,10.66,22160,2.1,5.96,6.82,8.39,12.53,18.18,12400,14190,17450,26050,37820,2003
693,ND,2985,"Grand Forks, ND-MN MSA",43-0000,Office and administrative support occupations,major,7330,2.5,11.52,23960,2.0,7.40,8.80,10.63,13.39,17.35,15380,18290,22100,27860,36090,2003
719,ND,2985,"Grand Forks, ND-MN MSA",45-0000,"Farming, fishing, and forestry occupations",major,**,**,11.54,24000,5.2,6.27,8.13,10.04,13.12,19.78,13050,16910,20890,27290,41140,2003
720,ND,2985,"Grand Forks, ND-MN MSA",47-0000,Construction and extraction occupations,major,2130,4.8,15.14,31500,1.5,9.63,11.51,14.63,18.17,21.66,20040,23950,30430,37800,45060,2003
735,ND,2985,"Grand Forks, ND-MN MSA",49-0000,"Installation, maintenance, and repair occupations",major,1950,4.5,15.75,32760,3.2,9.29,11.76,14.74,18.56,24.12,19330,24460,30650,38610,50170,2003
748,ND,2985,"Grand Forks, ND-MN MSA",51-0000,Production occupations,major,1780,3.5,12.92,26880,2.3,8.27,9.75,11.74,15.05,19.94,17210,20270,24430,31310,41480,2003
755,ND,2985,"Grand Forks, ND-MN MSA",53-0000,Transportation and material moving occupations,major,3290,3.7,11.93,24820,2.6,6.72,8.82,10.88,13.89,18.26,13990,18350,22630,28890,37980,2003
772,NE,4360,"Lincoln, NE MSA",11-0000,Management occupations,major,7350,3.1,34.65,72070,1.8,15.51,21.53,29.64,41.89,60.03,32260,44770,61650,87130,124850,2003
797,NE,4360,"Lincoln, NE MSA",13-0000,Business and financial operations occupations,major,6800,3.9,22.12,46020,2.0,13.04,15.91,20.00,25.51,33.09,27120,33100,41600,53060,68830,2003
817,NE,4360,"Lincoln, NE MSA",15-0000,Computer and mathematical occupations,major,3730,5.7,23.37,48620,3.0,12.47,16.46,22.22,28.61,35.77,25950,34240,46230,59500,74400,2003
830,NE,4360,"Lincoln, NE MSA",17-0000,Architecture and engineering occupations,major,2850,9.3,23.04,47920,2.6,13.05,16.41,22.00,28.01,34.73,27140,34130,45760,58270,72240,2003
847,NE,4360,"Lincoln, NE MSA",19-0000,"Life, physical, and social science occupations",major,2430,7.8,19.33,40200,4.5,10.57,13.18,17.33,22.73,32.07,22000,27410,36040,47280,66700,2003
859,NE,4360,"Lincoln, NE MSA",21-0000,Community and social services occupations,major,2440,6.8,14.20,29540,2.6,9.03,10.21,13.76,17.15,21.11,18770,21240,28610,35680,43900,2003
870,NE,4360,"Lincoln, NE MSA",23-0000,Legal occupations,major,930,6.8,29.05,60430,5.8,12.18,17.13,22.71,34.17,53.29,25330,35630,47250,71070,110840,2003
875,NE,4360,"Lincoln, NE MSA",25-0000,"Education, training, and library occupations",major,8760,4.2,20.02,41640,13.0,7.99,11.96,18.21,26.01,34.19,16620,24880,37890,54090,71110,2003
901,NE,4360,"Lincoln, NE MSA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,2460,7.5,15.68,32620,4.1,6.90,9.78,14.40,19.45,25.77,14340,20350,29950,40450,53600,2003
916,NE,4360,"Lincoln, NE MSA",29-0000,Healthcare practitioners and technical occupations,major,7400,4.1,23.35,48570,3.5,10.68,14.20,19.20,25.37,35.85,22210,29540,39940,52760,74570,2003
943,NE,4360,"Lincoln, NE MSA",31-0000,Healthcare support occupations,major,4830,8.9,10.34,21510,1.6,7.55,9.03,10.29,11.76,13.31,15700,18780,21410,24470,27680,2003
953,NE,4360,"Lincoln, NE MSA",33-0000,Protective service occupations,major,3050,7.0,15.17,31560,6.0,7.92,11.38,14.50,18.10,23.69,16480,23670,30170,37650,49270,2003
957,NE,4360,"Lincoln, NE MSA",35-0000,Food preparation and serving related occupations,major,12580,4.2,7.75,16120,1.5,5.70,6.20,7.11,8.63,10.91,11860,12890,14790,17940,22700,2003
973,NE,4360,"Lincoln, NE MSA",37-0000,Building and grounds cleaning and maintenance occupations,major,4470,5.9,9.32,19390,2.1,6.69,7.51,8.54,10.44,13.18,13910,15630,17770,21720,27410,2003
981,NE,4360,"Lincoln, NE MSA",39-0000,Personal care and service occupations,major,2710,8.5,9.48,19720,3.7,5.94,6.78,8.34,11.06,15.48,12350,14100,17350,22990,32200,2003
993,NE,4360,"Lincoln, NE MSA",41-0000,Sales and related occupations,major,13720,3.5,13.64,28380,3.4,6.15,7.16,9.04,15.26,25.37,12790,14900,18810,31750,52780,2003
1009,NE,4360,"Lincoln, NE MSA",43-0000,Office and administrative support occupations,major,27680,2.1,12.21,25400,0.9,7.66,9.25,11.26,14.25,18.22,15920,19230,23430,29640,37890,2003
1048,NE,4360,"Lincoln, NE MSA",45-0000,"Farming, fishing, and forestry occupations",major,350,24.8,9.18,19090,5.1,5.99,6.62,7.87,10.67,14.73,12460,13770,16370,22200,30650,2003
1051,NE,4360,"Lincoln, NE MSA",47-0000,Construction and extraction occupations,major,7260,6.3,14.34,29820,2.2,8.06,10.30,13.49,17.81,21.76,16760,21430,28050,37050,45250,2003
1072,NE,4360,"Lincoln, NE MSA",49-0000,"Installation, maintenance, and repair occupations",major,5140,4.0,16.48,34280,2.0,9.16,12.16,15.82,20.42,25.20,19050,25280,32900,42480,52410,2003
1089,NE,4360,"Lincoln, NE MSA",51-0000,Production occupations,major,11140,6.6,13.63,28350,2.9,7.95,9.76,12.66,17.14,20.70,16530,20300,26340,35660,43050,2003
1124,NE,4360,"Lincoln, NE MSA",53-0000,Transportation and material moving occupations,major,9550,6.5,12.07,25100,2.6,7.35,9.01,10.86,13.62,18.39,15300,18750,22590,28330,38250,2003
1142,NE,5920,"Omaha, NE-IA MSA",11-0000,Management occupations,major,20290,4.4,37.59,78190,1.4,16.41,22.72,32.22,45.71,66.72,34130,47250,67010,95070,138780,2003
1170,NE,5920,"Omaha, NE-IA MSA",13-0000,Business and financial operations occupations,major,18110,2.8,23.60,49080,1.5,13.07,16.36,21.22,27.87,36.13,27190,34030,44130,57980,75140,2003
1194,NE,5920,"Omaha, NE-IA MSA",15-0000,Computer and mathematical occupations,major,13500,3.9,27.69,57590,1.4,15.56,20.43,26.91,34.30,41.74,32370,42500,55980,71350,86810,2003
1206,NE,5920,"Omaha, NE-IA MSA",17-0000,Architecture and engineering occupations,major,5600,7.5,25.92,53910,1.7,13.66,17.87,24.21,32.63,41.48,28410,37180,50360,67870,86280,2003
1226,NE,5920,"Omaha, NE-IA MSA",19-0000,"Life, physical, and social science occupations",major,3390,5.8,22.94,47710,3.7,12.13,15.37,20.89,27.89,37.00,25230,31970,43450,58020,76950,2003
1240,NE,5920,"Omaha, NE-IA MSA",21-0000,Community and social services occupations,major,4780,3.8,14.50,30150,2.6,8.76,10.54,13.61,17.21,21.75,18220,21930,28320,35790,45240,2003
1251,NE,5920,"Omaha, NE-IA MSA",23-0000,Legal occupations,major,2120,13.0,35.78,74420,6.0,11.86,16.30,25.39,44.12,#,24670,33910,52810,91770,#,2003
1256,NE,5920,"Omaha, NE-IA MSA",25-0000,"Education, training, and library occupations",major,20750,6.7,18.62,38720,4.2,8.10,11.40,18.21,23.19,30.35,16850,23720,37870,48240,63130,2003
1285,NE,5920,"Omaha, NE-IA MSA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,5480,10.2,17.34,36070,3.5,8.06,10.72,15.50,21.96,28.64,16760,22290,32240,45670,59570,2003
1305,NE,5920,"Omaha, NE-IA MSA",29-0000,Healthcare practitioners and technical occupations,major,21960,2.9,24.78,51530,4.9,10.74,15.11,20.03,25.97,40.26,22340,31430,41670,54020,83750,2003
1342,NE,5920,"Omaha, NE-IA MSA",31-0000,Healthcare support occupations,major,9440,5.2,11.05,22990,1.2,8.51,9.47,10.72,12.48,13.89,17700,19700,22300,25960,28890,2003
1356,NE,5920,"Omaha, NE-IA MSA",33-0000,Protective service occupations,major,7260,2.9,15.22,31660,6.2,7.66,9.43,12.82,20.25,26.30,15930,19610,26670,42120,54710,2003
1363,NE,5920,"Omaha, NE-IA MSA",35-0000,Food preparation and serving related occupations,major,29730,3.0,8.27,17200,1.1,5.77,6.45,7.75,9.53,11.45,12000,13410,16120,19810,23820,2003
1379,NE,5920,"Omaha, NE-IA MSA",37-0000,Building and grounds cleaning and maintenance occupations,major,12560,5.4,10.15,21110,2.2,7.17,7.95,9.29,11.34,14.75,14910,16540,19320,23600,30680,2003
1387,NE,5920,"Omaha, NE-IA MSA",39-0000,Personal care and service occupations,major,9630,4.9,9.96,20710,3.6,6.01,6.95,8.47,11.04,17.96,12500,14460,17620,22960,37350,2003
1405,NE,5920,"Omaha, NE-IA MSA",41-0000,Sales and related occupations,major,48090,2.7,14.12,29370,1.8,6.70,7.94,10.41,16.54,26.81,13940,16520,21660,34400,55760,2003
1423,NE,5920,"Omaha, NE-IA MSA",43-0000,Office and administrative support occupations,major,79830,1.9,12.76,26540,1.3,7.96,9.54,11.79,14.94,18.97,16550,19850,24530,31080,39460,2003
1467,NE,5920,"Omaha, NE-IA MSA",45-0000,"Farming, fishing, and forestry occupations",major,520,10.6,11.77,24480,5.7,7.18,8.72,10.27,12.74,17.84,14920,18140,21360,26490,37110,2003
1472,NE,5920,"Omaha, NE-IA MSA",47-0000,Construction and extraction occupations,major,19610,3.0,16.90,35160,1.4,9.95,12.32,15.81,20.88,26.20,20700,25620,32880,43440,54500,2003
1505,NE,5920,"Omaha, NE-IA MSA",49-0000,"Installation, maintenance, and repair occupations",major,15240,5.1,16.85,35050,1.1,9.46,12.10,16.19,20.97,25.79,19680,25170,33670,43620,53650,2003
1535,NE,5920,"Omaha, NE-IA MSA",51-0000,Production occupations,major,27460,3.7,13.36,27790,2.2,8.06,9.71,11.81,15.80,21.34,16770,20200,24570,32850,44400,2003
1590,NE,5920,"Omaha, NE-IA MSA",53-0000,Transportation and material moving occupations,major,34420,2.9,13.59,28270,5.7,7.09,9.36,12.56,16.90,21.16,14740,19470,26130,35160,44010,2003
1611,NH,4760,"Manchester, NH PMSA",11-0000,Management occupations,major,6220,4.3,39.21,81560,1.6,17.35,23.67,32.90,47.29,#,36080,49220,68440,98360,#,2003
1633,NH,4760,"Manchester, NH PMSA",13-0000,Business and financial operations occupations,major,5030,7.0,26.69,55520,4.1,13.54,17.31,23.73,31.99,43.37,28160,36010,49350,66540,90220,2003
1653,NH,4760,"Manchester, NH PMSA",15-0000,Computer and mathematical occupations,major,2160,10.8,28.82,59950,4.5,14.97,19.14,27.49,36.65,46.36,31130,39810,57190,76240,96430,2003
1662,NH,4760,"Manchester, NH PMSA",17-0000,Architecture and engineering occupations,major,2030,10.6,24.57,51110,2.8,13.52,17.41,22.91,30.35,39.88,28120,36220,47660,63120,82950,2003
1679,NH,4760,"Manchester, NH PMSA",19-0000,"Life, physical, and social science occupations",major,540,15.0,24.51,50980,4.6,13.33,17.24,22.20,28.86,38.72,27720,35860,46180,60040,80530,2003
1684,NH,4760,"Manchester, NH PMSA",21-0000,Community and social services occupations,major,1120,11.2,16.61,34540,3.7,9.51,12.21,15.70,20.80,25.84,19770,25400,32660,43260,53750,2003
1693,NH,4760,"Manchester, NH PMSA",23-0000,Legal occupations,major,750,29.4,33.16,68970,7.3,14.79,17.86,25.10,39.42,64.22,30760,37140,52200,81990,133580,2003
1697,NH,4760,"Manchester, NH PMSA",25-0000,"Education, training, and library occupations",major,5840,13.0,16.61,34560,4.2,7.53,10.45,15.73,22.87,26.93,15660,21740,32720,47560,56020,2003
1714,NH,4760,"Manchester, NH PMSA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,810,12.2,20.39,42400,5.3,9.76,13.18,19.80,26.89,32.90,20300,27410,41190,55920,68440,2003
1722,NH,4760,"Manchester, NH PMSA",29-0000,Healthcare practitioners and technical occupations,major,5510,4.0,29.43,61220,6.5,12.15,17.90,23.21,30.47,50.02,25270,37230,48270,63370,104040,2003
1746,NH,4760,"Manchester, NH PMSA",31-0000,Healthcare support occupations,major,2220,10.7,12.53,26050,2.4,9.26,10.37,12.21,14.18,16.74,19250,21570,25400,29500,34810,2003
1754,NH,4760,"Manchester, NH PMSA",33-0000,Protective service occupations,major,2200,6.7,14.57,30310,6.0,8.47,9.77,12.05,19.48,23.30,17610,20330,25070,40520,48470,2003
1760,NH,4760,"Manchester, NH PMSA",35-0000,Food preparation and serving related occupations,major,8590,2.8,9.11,18950,1.8,5.96,7.07,8.56,10.79,12.97,12390,14700,17800,22440,26980,2003
1776,NH,4760,"Manchester, NH PMSA",37-0000,Building and grounds cleaning and maintenance occupations,major,3180,7.8,11.33,23570,3.3,7.44,8.51,10.35,13.11,17.72,15480,17700,21530,27270,36850,2003
1783,NH,4760,"Manchester, NH PMSA",39-0000,Personal care and service occupations,major,2080,9.5,10.44,21710,2.9,6.74,7.61,8.95,12.21,16.55,14010,15830,18620,25390,34410,2003
1793,NH,4760,"Manchester, NH PMSA",41-0000,Sales and related occupations,major,13030,4.6,17.36,36120,3.8,7.12,8.24,11.34,22.03,36.28,14800,17140,23590,45830,75460,2003
1810,NH,4760,"Manchester, NH PMSA",43-0000,Office and administrative support occupations,major,18830,4.4,13.64,28370,1.0,8.88,10.42,12.87,16.16,20.11,18460,21670,26770,33610,41820,2003
1853,NH,4760,"Manchester, NH PMSA",45-0000,"Farming, fishing, and forestry occupations",major,40,46.1,9.09,18900,11.7,5.54,6.11,7.29,11.60,15.76,11510,12720,15160,24120,32780,2003
1854,NH,4760,"Manchester, NH PMSA",47-0000,Construction and extraction occupations,major,4570,5.2,17.21,35800,1.5,10.97,13.39,16.61,20.62,24.95,22810,27860,34540,42890,51900,2003
1870,NH,4760,"Manchester, NH PMSA",49-0000,"Installation, maintenance, and repair occupations",major,4920,6.9,18.92,39360,2.2,11.26,14.18,18.05,23.00,28.12,23430,29490,37540,47840,58480,2003
1890,NH,4760,"Manchester, NH PMSA",51-0000,Production occupations,major,8460,7.0,14.00,29110,2.9,8.79,10.22,12.77,16.78,21.46,18290,21250,26560,34910,44630,2003
1922,NH,4760,"Manchester, NH PMSA",53-0000,Transportation and material moving occupations,major,7790,6.2,13.55,28180,2.2,7.83,9.57,12.55,16.30,20.44,16290,19910,26100,33910,42510,2003
1939,NH,5350,"Nashua, NH PMSA",11-0000,Management occupations,major,6560,6.1,42.69,88800,2.1,19.52,27.23,38.36,52.54,#,40590,56630,79790,109270,#,2003
1961,NH,5350,"Nashua, NH PMSA",13-0000,Business and financial operations occupations,major,3860,9.7,28.38,59030,3.6,14.38,18.57,23.92,33.79,44.25,29910,38630,49750,70270,92040,2003
1975,NH,5350,"Nashua, NH PMSA",15-0000,Computer and mathematical occupations,major,2380,9.2,34.06,70850,2.2,17.79,24.33,32.79,42.76,52.67,37000,50610,68190,88950,109560,2003
1985,NH,5350,"Nashua, NH PMSA",17-0000,Architecture and engineering occupations,major,3930,4.2,30.38,63190,1.9,17.38,21.65,27.77,38.28,47.33,36140,45040,57760,79630,98440,2003
1999,NH,5350,"Nashua, NH PMSA",19-0000,"Life, physical, and social science occupations",major,620,12.1,33.38,69430,5.7,15.26,20.72,28.90,44.25,54.74,31740,43110,60120,92050,113870,2003
2004,NH,5350,"Nashua, NH PMSA",21-0000,Community and social services occupations,major,870,9.7,17.47,36330,5.1,9.73,12.02,15.91,21.95,27.84,20230,25000,33090,45660,57910,2003
2010,NH,5350,"Nashua, NH PMSA",23-0000,Legal occupations,major,**,**,38.27,79590,8.7,16.03,19.43,29.17,52.48,#,33330,40420,60670,109150,#,2003
2013,NH,5350,"Nashua, NH PMSA",25-0000,"Education, training, and library occupations",major,6150,4.3,16.46,34240,3.2,8.07,10.22,15.34,22.53,26.71,16790,21260,31910,46870,55560,2003
2030,NH,5350,"Nashua, NH PMSA",27-0000,"Arts, design, entertainment, sports, and media occupations",major,920,10.0,20.66,42970,6.6,8.03,11.57,17.76,26.89,37.56,16700,24070,36940,55930,78120,2003
